rok,miesiac,liczba,imie,plec
596,2005,9,29,Natalia,0
597,2005,8,14,Natalia,0
598,2005,7,25,Natalia,0
599,2005,6,24,Natalia,0
600,2005,5,23,Natalia,0
601,2005,4,27,Natalia,0
602,2005,3,24,Natalia,0
603,2005,2,30,Natalia,0
604,2005,1,22,Natalia,0
605,2004,12,21,Natalia,0
606,2004,11,14,Natalia,0
607,2004,10,8,Natalia,0
608,2004,9,32,Natalia,0
609,2004,8,21,Natalia,0
610,2004,7,7,Natalia,0
611,2014,8,12,Zofia,0
612,2014,7,17,Zofia,0
613,2014,6,13,Zofia,0
614,2014,5,13,Zofia,0
615,2014,4,19,Zofia,0
616,2014,3,20,Zofia,0
617,2014,2,20,Zofia,0
618,2014,1,19,Zofia,0
619,2013,12,10,Zofia,0
620,2013,11,19,Zofia,0
621,2013,10,13,Zofia,0
622,2013,9,17,Zofia,0
623,2013,8,10,Zofia,0
624,2013,7,15,Zofia,0
625,2013,6,15,Zofia,0
626,2013,5,20,Zofia,0
627,2013,4,20,Zofia,0
628,2013,3,15,Zofia,0
629,2013,2,18,Zofia,0
630,2013,1,17,Zofia,0
631,2012,12,7,Zofia,0
632,2012,11,18,Zofia,0
633,2012,10,24,Zofia,0
634,2012,9,13,Zofia,0
635,2012,8,20,Zofia,0
636,2012,7,9,Zofia,0
637,2012,6,15,Zofia,0
638,2012,5,18,Zofia,0
639,2012,4,4,Zofia,0
640,2012,3,7,Zofia,0
641,2012,2,12,Zofia,0
642,2012,1,19,Zofia,0
643,2011,12,17,Zofia,0
644,2011,11,11,Zofia,0
645,2011,10,13,Zofia,0
646,2011,9,4,Zofia,0
647,2011,8,10,Zofia,0
648,2011,7,14,Zofia,0
649,2011,6,21,Zofia,0
650,2011,5,18,Zofia,0
651,2011,4,19,Zofia,0
652,2011,3,16,Zofia,0
653,2011,2,12,Zofia,0
654,2011,1,22,Zofia,0
655,2010,12,15,Zofia,0
656,2010,11,15,Zofia,0
657,2010,10,19,Zofia,0
658,2010,9,20,Zofia,0
659,2010,8,7,Zofia,0
660,2010,7,11,Zofia,0
661,2010,6,9,Zofia,0
662,2010,5,12,Zofia,0
663,2010,4,13,Zofia,0
664,2010,3,15,Zofia,0
665,2010,2,10,Zofia,0
666,2010,1,18,Zofia,0
667,2009,12,18,Zofia,0
668,2009,11,20,Zofia,0
669,2009,10,11,Zofia,0
670,2009,9,20,Zofia,0
671,2009,8,13,Zofia,0
672,2009,7,15,Zofia,0
673,2009,6,7,Zofia,0
674,2009,5,19,Zofia,0
675,2009,4,22,Zofia,0
676,2009,3,16,Zofia,0
677,2009,2,10,Zofia,0
678,2009,1,8,Zofia,0
679,2008,12,12,Zofia,0
680,2008,11,19,Zofia,0
681,2008,10,15,Zofia,0
682,2008,9,14,Zofia,0
683,2008,8,15,Zofia,0
684,2008,7,19,Zofia,0
685,2008,6,18,Zofia,0
686,2008,5,8,Zofia,0
687,2008,4,16,Zofia,0
688,2008,3,10,Zofia,0
689,2008,2,14,Zofia,0
690,2008,1,21,Zofia,0
691,2007,12,16,Zofia,0
692,2007,11,10,Zofia,0
693,2007,10,20,Zofia,0
694,2007,9,25,Zofia,0
695,2007,8,14,Zofia,0
696,2007,7,13,Zofia,0
697,2007,6,11,Zofia,0
698,2007,5,18,Zofia,0
699,2007,4,13,Zofia,0
700,2007,3,23,Zofia,0
701,2007,2,22,Zofia,0
702,2007,1,19,Zofia,0
703,2006,12,11,Zofia,0
704,2006,11,15,Zofia,0
